Model,Comparison,Property,Run,Mut_alpha,KS stats,KS p-value
ADS,All duplicates,Transcription rate,Bm3,-0.15,-0.07836593317033413,0.030079107236447435
ADS,All duplicates,Transcription rate,Bm3,-0.125,-0.07308312958435208,0.05450247635969094
ADS,All duplicates,Transcription rate,Bm3,-0.1,-0.06871067644661773,0.10507991431838265
ADS,All duplicates,Transcription rate,Bm3,-0.075,-0.0679535452322738,0.09251363373072914
ADS,All duplicates,Transcription rate,Bm3,-0.05,-0.0672852485737571,0.09256220414039247
ADS,All duplicates,Transcription rate,Bm3,-0.01,-0.060939282803585966,0.15395604121804793
ADS,All duplicates,Transcription rate,Bm3,0.0,-0.0574172779136104,0.2065298197674328
ADS,All duplicates,Transcription rate,Bm4,-0.35,-0.074601466992665,0.04467505473819373
ADS,All duplicates,Transcription rate,Bm4,-0.25,-0.06768296658516706,0.08965202740899807
ADS,All duplicates,Transcription rate,Bm4,-0.175,-0.06318581907090463,0.14410153211894436
ADS,All duplicates,Transcription rate,Bm4,-0.15,-0.06551915240423796,0.11502759346309936
ADS,All duplicates,Transcription rate,Bm4,-0.125,-0.0573459657701711,0.21150242067471395
ADS,All duplicates,Transcription rate,Bm4,-0.1,-0.06528728606356966,0.11765190411091543
ADS,All duplicates,Transcription rate,Bm4,-0.075,-0.06543439282803583,0.10508344183988376
ADS,All duplicates,Transcription rate,Bm4,-0.05,-0.057913610431947794,0.2197398791843642
ADS,All duplicates,Transcription rate,Bm4,-0.01,-0.05398859005704967,0.27513046305016814
ADS,All duplicates,Transcription rate,Bm4,0.0,-0.052819885900570435,0.29207805464487857
ADS,All duplicates,Transcription rate,Bm5,-0.35,-0.06022127139364297,0.17568336263187231
ADS,All duplicates,Transcription rate,Bm5,-0.25,-0.060242868785656,0.22174788940136847
ADS,All duplicates,Transcription rate,Bm5,-0.175,-0.052315810920945366,0.3052887702841481
ADS,All duplicates,Transcription rate,Bm5,-0.15,-0.04940749796251013,0.38198253141948846
ADS,All duplicates,Transcription rate,Bm5,-0.125,-0.05152730236348816,0.3270529053250207
ADS,All duplicates,Transcription rate,Bm5,-0.1,-0.05593928280358596,0.2517610847761583
