Duplication;ORF;HM.Stynen;list.Biogrid.HM.Pubmed.id;n.Biogrid.study;n.Biogrid.HM;HM.Biogrid;HM.Kim;HM.PCA;HM.final
S;YCR076C;0;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YCR081W;0;NA;NA;NA;NA;0;NA;0
S;YCR082W;0;NA;"Affinity Capture-MS(16554755);Affinity Capture-MS(21734642)";2;1;0;NA;1
S;YCR085W;NA;NA;NA;NA;NA;0;NA;0
S;YCR087C-A;NA;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YCR087W;NA;NA;NA;NA;NA;0;NA;0
S;YCR090C;0;NA;NA;NA;NA;0;NA;0
S;YCR093W;1;NA;"Affinity Capture-MS(14759368);Affinity Capture-Western(20386698);Affinity Capture-Western(9463387);PCA(18467557);PCA(22615397);Two-hybrid(11113136);Two-hybrid(9463387)";7;2;NA;NA;1
S;YCR102W-A;NA;NA;NA;NA;NA;0;NA;0
S;YCR104W;0;NA;NA;NA;NA;0;NA;0
S;YCR108C;0;NA;NA;NA;NA;NA;NA;0
S;YDL011C;NA;NA;NA;NA;NA;0;NA;0
S;YDL013W;0;NA;"Affinity Capture-MS(16554755);Biochemical Activity(28550017);Reconstituted Complex(17848550);Two-hybrid(17669696);Two-hybrid(20516210);Two-hybrid(24196836)";6;3;0;NA;1
S;YDL014W;NA;NA;"Affinity Capture-MS(16554755);Two-hybrid(18268104)";2;1;NA;NA;1
S;YDL015C;NA;NA;PCA(16093310);1;1;0;NA;1
S;YDL023C;NA;NA;NA;NA;NA;0;NA;0
S;YDL027C;NA;NA;NA;NA;NA;0;NA;0
S;YDL032W;NA;NA;NA;NA;NA;0;NA;0
S;YDL033C;0;NA;NA;NA;NA;0;NA;0
S;YDL034W;NA;NA;NA;NA;NA;0;NA;0
S;YDL035C;0;NA;NA;NA;NA;0;NA;0
S;YDL040C;NA;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YDL041W;NA;NA;NA;NA;NA;0;NA;0
S;YDL043C;NA;NA;NA;NA;NA;0;NA;0
S;YDL045C;NA;NA;NA;NA;NA;0;NA;0
S;YDL046W;0;NA;NA;NA;NA;0;NA;0
S;YDL050C;NA;NA;NA;NA;NA;0;NA;0
S;YDL052C;0;NA;PCA(18467557);1;0;1;NA;1
