Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Protein abundance,Bm3,0.1,-0.1153651181744091,0.0006307458138929948
ADS,All duplicates,Protein abundance,Bm3,0.2,-0.11605501222493882,0.00044240574463161477
ADS,All duplicates,Protein abundance,Bm3,0.3,-0.113841890790546,0.0002918508809965
ADS,All duplicates,Protein abundance,Bm3,0.4,-0.1150684596577017,0.0002829633265865909
ADS,All duplicates,Protein abundance,Bm3,0.5,-0.10987204563977172,0.0006595117293454001
ADS,All duplicates,Protein abundance,Bm3,0.6,-0.11620008149959245,0.00028481318160805544
ADS,All duplicates,Protein abundance,Bm3,0.7,-0.12049185004074976,0.0001021787518686278
ADS,All duplicates,Protein abundance,Bm4,-0.4,-0.1061295843520782,0.0017481233018260666
ADS,All duplicates,Protein abundance,Bm4,-0.3,-0.11275998370008146,0.0005668081753488577
ADS,All duplicates,Protein abundance,Bm4,-0.2,-0.11232355338223303,0.0013182861346495694
ADS,All duplicates,Protein abundance,Bm4,-0.1,-0.11265851670741643,0.0009870848088647027
ADS,All duplicates,Protein abundance,Bm4,0.0,-0.11700040749796248,0.00030283566094528694
ADS,All duplicates,Protein abundance,Bm4,0.1,-0.11721026894865523,0.00022266180256593575
ADS,All duplicates,Protein abundance,Bm4,0.2,-0.11566707416462912,0.0003572206277587299
ADS,All duplicates,Protein abundance,Bm4,0.3,-0.10989486552567236,0.0006244377076975333
ADS,All duplicates,Protein abundance,Bm4,0.4,-0.12155460472697632,0.00017242144429506325
ADS,All duplicates,Protein abundance,Bm4,0.5,-0.1130933170334148,0.0003139741371199333
ADS,All duplicates,Protein abundance,Bm4,0.6,-0.11530032599836997,0.00025180091921463333
ADS,All duplicates,Protein abundance,Bm4,0.7,-0.1206617766911165,0.00011114614345600408
ADS,All duplicates,Protein abundance,Bm5,-0.4,-0.11250774246128765,0.0005424296497072362
ADS,All duplicates,Protein abundance,Bm5,-0.3,-0.11040179299103503,0.0007595779539882225
ADS,All duplicates,Protein abundance,Bm5,-0.2,-0.12101792991035043,0.00030079699519822703
ADS,All duplicates,Protein abundance,Bm5,-0.1,-0.11772656886715564,0.00024151618978518694
ADS,All duplicates,Protein abundance,Bm5,0.0,-0.11346536267318659,0.0005383836907900836
ADS,All duplicates,Protein abundance,Bm5,0.1,-0.12278158109209454,9.228152987064274e-05
ADS,All duplicates,Protein abundance,Bm5,0.2,-0.11689486552567234,0.00018383330633282423
ADS,All duplicates,Protein abundance,Bm5,0.3,-0.1038769356153219,0.0012006744046973664
ADS,All duplicates,Protein abundance,Bm5,0.4,-0.11202526487367559,0.0006978138454808853
ADS,All duplicates,Protein abundance,Bm5,0.5,-0.11670334148329257,0.00020840233474153625
ADS,All duplicates,Protein abundance,Bm5,0.6,-0.11353830480847593,0.00030577141193859997
ADS,All duplicates,Protein abundance,Bm5,0.7,-0.11499185004074979,0.00027206681980627084
ADS,All duplicates,Protein abundance,Bm6,-0.4,-0.10857008964955168,0.0008221519913867333
ADS,All duplicates,Protein abundance,Bm6,-0.3,-0.11145273023634877,0.0004957628853829668
ADS,All duplicates,Protein abundance,Bm6,-0.2,-0.11190179299103503,0.0004790280862086334
ADS,All duplicates,Protein abundance,Bm6,-0.1,-0.1057045639771801,0.0013210308084025
ADS,All duplicates,Protein abundance,Bm6,0.0,-0.11553667481662587,0.0004059372350055418
ADS,All duplicates,Protein abundance,Bm6,0.1,-0.1118651181744091,0.0005855515776173667
ADS,All duplicates,Protein abundance,Bm6,0.2,-0.1130684596577017,0.00034546058510103334
ADS,All duplicates,Protein abundance,Bm6,0.3,-0.12073675631621837,0.00020378235481294778
ADS,All duplicates,Protein abundance,Bm6,0.4,-0.11521026894865523,0.00036498200524428154
ADS,All duplicates,Protein abundance,Bm6,0.5,-0.11303667481662587,0.00030911157626863333
ADS,All duplicates,Protein abundance,Bm6,0.6,-0.10682518337408309,0.0010255249883744
ADS,All duplicates,Protein abundance,Bm6,0.7,-0.11231825590872042,0.0003864017471049334
ADS,All duplicates,Protein abundance,Bm7,-0.4,-0.1211365118174409,9.019700990729516e-05
ADS,All duplicates,Protein abundance,Bm7,-0.3,-0.11928158109209451,0.00026891592811905226
ADS,All duplicates,Protein abundance,Bm7,-0.2,-0.11046984515077424,0.0007466297363603854
ADS,All duplicates,Protein abundance,Bm7,-0.1,-0.1125933170334148,0.00044006967810524813
ADS,All duplicates,Protein abundance,Bm7,0.0,-0.1123215158924205,0.000579564330237999
ADS,All duplicates,Protein abundance,Bm7,0.1,-0.12613814180929092,5.741650676151193e-05
ADS,All duplicates,Protein abundance,Bm7,0.2,-0.11683333333333328,0.00023377556925436349
ADS,All duplicates,Protein abundance,Bm7,0.3,-0.1172885085574572,0.00018864085686359856
ADS,All duplicates,Protein abundance,Bm7,0.4,-0.11459168704156476,0.0006116203081842577
ADS,All duplicates,Protein abundance,Bm7,0.5,-0.112921760391198,0.0005215749136304892
ADS,All duplicates,Protein abundance,Bm7,0.6,-0.11608842705786467,0.0002613750843252708
ADS,All duplicates,Protein abundance,Bm7,0.7,-0.11390179299103505,0.0003783055166958282
ADS,All duplicates,Protein abundance,Bm8,-0.4,-0.11919845150774244,0.00021127841890223188
ADS,All duplicates,Protein abundance,Bm8,-0.3,-0.11470334148329253,0.0003498564365362615
ADS,All duplicates,Protein abundance,Bm8,-0.2,-0.11344661776691113,0.0005015194769799731
ADS,All duplicates,Protein abundance,Bm8,-0.1,-0.11674490627546856,0.0001812446208616
ADS,All duplicates,Protein abundance,Bm8,0.0,-0.10921026894865522,0.001294984165412773
